model,precision_normal,precision_murmur,precision_extrahls,precision_artifact,total_precision,Youden Index of artifact,F-Score_heartproblem,dataset
mfcc_cnn1,0.387,0.429,0.0,1.0,1.82,-0.063,0.153,a
mfcc_cnn2,0.324,0.0,0.0,0.77,1.1,-0.07,0.0,a
mfcc_cnn3,0.292,0.4,0.0,1.0,1.692,0.049,0.144,a
mfcc_cnn4,0.424,0.556,0.0,1.0,1.98,0.153,0.151,a
mfcc_cnn5,0.278,0.462,0.125,1.0,1.86,0.021,0.146,a
mfcc_cnn6,0.25,0.25,0.0,0.76,1.26,0.007,0.028,a
cwt_cnn1,0.444,0.8,0.556,0.682,2.48,0.41,0.286,a
cwt_cnn2,0.313,0.8,0.333,0.556,2.0,0.215,0.157,a
cwt_cnn3,0.4,1.0,0.6,0.667,2.67,0.361,0.237,a
cwt_cnn4,0.385,0.75,0.714,0.625,2.47,0.299,0.225,a
cwt_cnn5,0.429,0.778,0.4,0.842,2.45,0.444,0.252,a
cwt_cnn6,0.571,0.857,0.353,0.889,2.67,0.444,0.232,a
pca_xgb5,0.417,0.818,0.385,0.875,2.49,0.403,0.271,a
pca_xgb6,0.545,0.91,0.467,0.867,2.79,0.451,0.314,a
