model,precision_normal,precision_murmur,precision_extrahls,precision_artifact,precision_extrastole,weighted_avg_precision,f1_normal,f1_murmur,f1_extrahls,f1_artifact,f1_extrastole,weighted_avg_f1,accuracy
mfcc_cnn1,0.78,0.56,0.0,0.78,0.5,0.68,0.79,0.63,0.0,0.82,0.18,0.68,0.71
mfcc_cnn2,0.71,0.75,0.0,0.7,0.09,0.64,0.74,0.57,0.0,0.78,0.1,0.63,0.64
mfcc_cnn3,0.75,0.6,0.0,0.78,0.14,0.64,0.75,0.64,0.0,0.82,0.12,0.66,0.68
mfcc_cnn4,0.78,0.83,0.0,0.67,0.0,0.7,0.83,0.8,0.0,0.8,0.0,0.73,0.78
mfcc_cnn5,0.78,0.72,0.14,1.0,0.15,0.71,0.76,0.71,0.18,0.93,0.18,0.69,0.68
mfcc_cnn6,0.78,0.81,0.25,0.5,0.17,0.7,0.79,0.72,0.25,0.64,0.13,0.69,0.7
cwt_cnn1,0.79,0.7,0.2,0.73,0.0,0.69,0.78,0.72,0.22,0.84,0.0,0.69,0.7
cwt_cnn2,0.71,1.0,0.5,0.64,0.0,0.71,0.81,0.63,0.33,0.74,0.0,0.69,0.73
cwt_cnn3,0.7,0.9,0.5,0.67,0.0,0.68,0.75,0.5,0.6,0.8,0.0,0.64,0.66
cwt_cnn4,0.75,0.88,0.4,0.64,0.09,0.71,0.77,0.7,0.44,0.74,0.1,0.69,0.68
cwt_cnn5,0.75,0.71,0.2,0.5,0.0,0.65,0.76,0.5,0.22,0.67,0.0,0.62,0.62
cwt_cnn6,0.73,0.8,0.2,0.62,0.0,0.67,0.68,0.7,0.22,0.76,0.0,0.62,0.59
pca_xgb5,0.68,0.4,0.0,0.58,0.25,0.55,0.67,0.35,0.0,0.7,0.29,0.55,0.55
pca_xgb6,0.67,0.32,0.17,0.58,0.12,0.52,0.66,0.29,0.2,0.7,0.12,0.52,0.53
